Date,Region,Ventes,Clients,Produits,Satisfaction
2024-01-01,Nord,15000,450,125,4.5
2024-01-01,Sud,12000,380,98,4.2
2024-01-01,Est,18000,520,162,4.7
2024-01-01,Ouest,14500,420,115,4.4
2024-01-02,Nord,16500,480,140,4.6
2024-01-02,Sud,11000,350,85,4.0
2024-01-02,Est,19500,580,180,4.8
2024-01-02,Ouest,15200,450,128,4.5
2024-01-03,Nord,17200,510,155,4.7
2024-01-03,Sud,13500,410,105,4.3
2024-01-03,Est,21000,620,195,4.9
2024-01-03,Ouest,16800,490,145,4.6
2024-01-04,Nord,18900,550,170,4.8
2024-01-04,Sud,12800,390,100,4.1
2024-01-04,Est,22500,650,210,4.9
2024-01-04,Ouest,18200,530,160,4.7
2024-01-05,Nord,20100,580,185,4.9
2024-01-05,Sud,14200,430,115,4.4
2024-01-05,Est,24000,700,225,5.0
2024-01-05,Ouest,19500,570,175,4.8
2024-01-06,Nord,9500,280,75,3.8
2024-01-06,Sud,8200,250,60,3.5
2024-01-06,Est,11200,340,95,3.9
2024-01-06,Ouest,9800,300,70,3.6
2024-01-07,Nord,22300,620,200,4.9
2024-01-07,Sud,16800,480,140,4.5
2024-01-07,Est,26500,750,250,5.0
2024-01-07,Ouest,21200,610,185,4.8
2024-01-08,Nord,24100,660,220,4.9
2024-01-08,Sud,18200,520,160,4.6
2024-01-08,Est,28200,800,270,5.0
2024-01-08,Ouest,23500,650,205,4.9
